variable,non_missing,missing_pct,mean,median,min,max
global_sales,22766,65.98,0.4537327593780199,0.13,0,82.74
na_sales,19969,70.16,0.25135660273423804,0.08,0,41.49
eu_sales,20413,69.5,0.13914711213442416,0.02,0,29.02
jp_sales,19059,71.52,0.08050842121832205,0,0,10.22
other_sales,21255,68.24,0.04372571159727123,0.01,0,10.57
price,0,100,NA,NA,NA,NA
userscore,230,99.66,82.43478260869566,86,27,98
ccu,0,100,NA,NA,NA,NA
owner_midpoint,0,100,NA,NA,NA,NA
review_count,13111,80.41,1,1,1,1
competitors,59650,10.86,384.20331936295054,257,0,1555
